bus_name,bus_i,type,Pd,Qd,Vm,Va,baseKV
西当別変電所275,1,1,0,0,1.00073153,3.196505885,275
西当別変電所187/苗穂変電所,2,1,73.19047847,0,1.001499344,1.730871118,187
西野変電所275,3,1,0,0,1.001536476,2.432359464,275
西野変電所187/南九条変電所/西小樽変電所,4,1,297.3108767,0,1.000283212,0.942434451,187
西双葉開閉所,5,1,0,0,1.003153556,3.03491297,275
発電所5-6,6,1,0,0,1.000581255,2.767756214,275
後志幹線（#115）,7,1,0,0,1.00092679,2.993491028,275
南早来変電所275,8,1,0,0,1.001769635,5.572696633,275
南早来変電所187,9,1,-17.48453692,0,1.001802029,3.561830627,187
発電所10-11,10,1,0,0,1.001488887,6.429668605,275
篠路変電所,11,1,56.09717919,0,1.000413445,0.94662891,187
西札幌変電所,12,1,165.2657514,0,0.999848677,0.690208208,187
双葉開閉所,13,1,0,0,1.000305305,0.824129618,187
西室蘭開閉所/西伊達変電所,14,1,58.22374156,0,1.000159046,1.887219304,187
室蘭変電所,15,1,-22.20061577,0,1.000491337,1.947695986,187
苫小牧変電所,16,1,130.6618025,0,0.99993642,2.065803334,187
東苫小牧変電所,17,1,48.07396202,0,1.000129139,3.046626154,187
勇払線（#16）,18,1,0,0,1.00023446,3.167986483,187
追分開閉所,19,1,0,0,1.001127046,2.183656655,187
恵庭変電所,20,1,51.67836516,0,0.999740058,1.203952868,187
南札幌変電所,21,1,194.1521413,0,0.998713158,0.476562148,187
北江別変電所,22,1,87.46252258,0,1.000059938,0.835008769,187
北斗変換所,23,3,0,0,1,0,275
大野変電所275,24,1,0,0,0.999479699,-0.180279869,275
大野変電所187/知内線（#53）/知内開閉所,25,1,278.6373176,0,0.999666016,-3.184680336,187
北七飯変電所,26,1,280.2778275,0,0.997662053,-3.829318582,187
函館幹線（#299）,27,1,0,0,1.000104982,-1.765464432,187
函館幹線（#366）,28,1,0,0,0.999989451,-2.33907362,187
旭川嵐山開閉所/旭川変電所/西名寄変電所/西中川変電所,29,1,212.5660942,0,1.000274996,1.097044984,187
西旭川変電所,30,1,24.57098967,0,1.000262072,1.075036763,187
西滝川変電所,31,1,64.11205221,0,1.00008369,1.262722977,187
西奈井江開閉所,32,1,0,0,1.000463332,1.104027003,187
北新得変電所275,33,1,0,0,1.002420015,3.479085883,275
北新得変電所187/富村線（#59）/北芽室変電所/西音更変電所,34,1,127.496135,0,1.000756941,2.260518287,187
日勝幹線（#162）,35,1,0,0,1.000142884,2.648308883,187
新冠開閉所,36,1,0,0,1.00003128,3.138859157,187
奥新冠線（#47）,37,1,0,0,1.000022561,3.251348096,187
岩清水開閉所/高見線（#20）/高見線（#3）/高見開閉所/春別開閉所/北静内変電所,38,1,-29.56905511,0,1.000071459,3.391346072,187
宇円別変電所/東釧路変電所/西春別変電所,39,1,0.905409818,0,1.004593584,1.73270464,187
発電所106-107-109/女満別変電所,40,1,25.31657139,0,1.000194165,1.481910772,187
発電所109-110,41,1,0,0,1.000064267,1.511043856,187
発電所110-113-115/留辺蘂変電所,42,1,23.25498953,0,0.99998731,1.546698225,187
Gen1一次側,43,2,0,0,1,2.767756214,16.5
Gen2一次側,44,2,0,0,1,7.197801122,16.5
Gen3一次側,45,2,0,0,1,3.47905501,16.5
Gen4一次側,46,2,0,0,1,3.012724584,16.5
Gen5一次側,47,2,0,0,1,0.942434451,16.5
Gen6一次側,48,2,0,0,1,-3.157778521,16.5
Gen7一次側,49,2,0,0,1,-2.33907362,16.5
Gen8一次側,50,2,0,0,1,-1.765464432,16.5
Gen9一次側,51,2,0,0,1,0.824129618,16.5
Gen10一次側,52,2,0,0,1,1.887219304,16.5
Gen11一次側,53,2,0,0,1,1.959667275,16.5
Gen12一次側,54,2,0,0,1,3.111363774,16.5
Gen13一次側,55,2,0,0,1,3.056229496,16.5
Gen14一次側,56,2,0,0,1,2.259716753,16.5
Gen15一次側,57,2,0,0,1,1.286785191,16.5
Gen16一次側,58,2,0,0,1,1.535468109,16.5
Gen17一次側,59,2,0,0,1,1.511043856,16.5
Gen18一次側,60,2,0,0,1,1.485920698,16.5
Gen19一次側,61,2,0,0,1,3.251348096,16.5
Gen20一次側,62,2,0,0,1,3.391346072,16.5
Gen21一次側,63,2,0,0,1,3.390543989,16.5
Gen22一次側,64,2,0,0,1,3.138057041,16.5
Gen23一次側,65,2,0,0,1,3.138859157,16.5
Gen24一次側,66,2,0,0,1,2.648308883,16.5
Gen25一次側,67,2,0,0,1,0.835008769,16.5
Gen26一次側,68,2,0,0,1,1.26384466,16.5
Gen27一次側,69,2,0,0,1,1.262722977,16.5
Gen28一次側,70,2,0,0,1,1.311610142,16.5
Gen29一次側,71,2,0,0,1,3.167986483,16.5
,,,,,,,
,,,,,,,
