gen_name,gen_type,bus,Pg,Qg,Vg
泊発電所（停止中）,原子力,43,0,-41.51818125,1
苫東厚真発電所,石炭火力,44,959,-99.92061269,1
石狩湾新港発電所,LNGコンバインド,45,352.5,-51.38298075,1
京極発電所,揚水,46,24,-66.19526367,1
藻岩/砥山/豊平峡/小樽内/定山渓/寒別/比羅夫/昆布/蘭越発電所（西小樽）,水力,47,0,-20.22943144,1
知内発電所,重油火力,48,33.52631579,23.86387484,1
相沼内発電所（怪しい、揚水の可能性大）,水力,49,0,0.753496899,1
ピリカ発電所,水力,50,0,-7.49871664,1
千歳第一発電所,水力,51,0,-21.80748771,1
伊達発電所（1号機を2023年11月末、2号機を2024年3月末に休止）,重油火力,52,0,-11.36046249,1
室蘭バイオマス発電所,バイオマス,53,90.33260013,-11.3033517,1
苫小牧工場火力発電所,バイオマス,54,80.71644951,-9.178589036,1
苫小牧発電所,重油・天然ガス,55,11.97368421,-9.223185724,1
富村/十勝/新得/然別第一/然別第二/然別第三/新岩松/熊牛/くったり/北芽室発電所（北新得）,水力,56,-1,-54.06722271,1
砂川発電所(27年3月廃止予定),石炭火力,57,30,-5.971591523,1
幌加/糖平発電所,水力,58,-14,0.907796136,1
芽登第一/芽登第二発電所,水力,59,0,-4.590485543,1
足寄/本別発電所,水力,60,5,-13.86871875,1
下新冠発電所,水力,61,0,-1.611527692,1
春別/静内/東の沢/双川発電所,水力,62,0,-5.104205369,1
高見発電所,揚水,63,-1,-5.10419837,1
奥新冠発電所,水力,64,-1,-2.23428721,1
新冠発電所,揚水,65,0,-2.23429421,1
奥沙流/右左府/日高/岩知志発電所,水力,66,0,-10.20602842,1
新桂沢/熊追発電所（北江別）,水力,67,0,-4.281291819,1
朱鞠内/雨竜/愛別/安足間/上川/真勲別/層雲峡/大雪/志比内/忠別川/ユコマンベツ/新忠別/江卸/湧別川/瀬戸瀬発電所（西旭川）,水力,68,208,-19.33981007,1
芦別/野花南/滝里/金山発電所,水力,69,0,-5.977890996,1
釧路火力発電所,バイオマス,70,60.95095036,-5.951888039,1
勇払バイオマス発電所,バイオマス,71,0,-16.74710904,1
北斗変換所,スラック,23,300.3470237,-22.35171854,1
